용도,일반명(한글),일반명(영문),CAS No,화학명,구조식,용해도,분자식,비점,분자량,증기압,외관,KowLogP,융점,밀도,코드명,코드설명,계통명
살균,퀸코나졸,quinconazole,103970-75-8,"3-(2,4-dichlorophenyl)-2-(1H-1,2,4-triazol-1-yl)quinazolin-4(3H)-one",,,C16H9Cl2N5O,,358.2,,,,,,미분류,작용기구 불명,conazole
제초,퀸클로락,Quinclorac,84087-01-4,"3,7-dichloroquinoline-8-carboxylic acid",,"In water 0.065 mg/kg (pH 7, 20℃). In acetone <1 g/100mL (20℃). Practically insoluble in other organic solvents.",C10H5Cl2NO2,,242.1,,백색/황색 무취 고체,-0.74 (pH 7),274℃,1.68,H04,인돌아세트산 유사작용,quinolinecarboxylic acid
살균,퀸토젠,Quintozene,82-68-8,pentachloronitrobenzene,,,C6Cl5NO2,328℃,295.3,328℃,Colourless needles(tech pale yellow crystals),5.1,143-144℃,1907kg/m^3 (21℃),,,
제초,큐밀루론,cumyluron,99485-76-4,1-(2-chlorobenzyl)-3-(1-methyl-1-phenylethyl)urea,,"In water 0.879 mg/L (pH 6.7, 20.0±0.5℃). In acetone 11.0, methanol 14.4, hexane 0.00357, benzene 1.4, xylene 0.352  (all in g/L, 20.0±0.5℃).",C17H19ClN2O,282±0.5℃/100.94 kPa,302.8,282±0.5℃/100.94 kPa,백색 무취 결정성 고체,2.61,166-167℃,1.22 (20℃),미분류,작용기구 불명,urea
살균,큐프러스옥사이드,Cuprous oxide,1317-39-1,copper(I) oxide or copper(1+) oxide or cuprous oxide,,Insoluble in water,Cu2O,"1,800℃",143.1,"1,800℃",붉은 갈색 분말,,"1,235℃",,카,"보호살균제 무기유황제, 무기구리제, 유기비소제 등",copper
살균,크레속심메틸,Kresoxim-methyl,143390-89-0,methyl (E)-methoxyimino[2-(o-tolyloxymethyl)phenyl]acetate,,,C18H19NO4,Decomp. 310℃,313.4,Decomp. 310℃,백색 결정,,101.6-102.5℃,1.258 kg/L (20℃),다3,"복합체Ⅲ: 퀴논 외측에서 시토크롬 bc1기능 저해 (아족시스트로빈, 피콕시스트로빈, 피라클로스트로빈, 크레속심메틸, 오리사스토로빈, 파목사돈, 페나미돈, 피리벤카브 등)",methoxyiminoacetate strobilurin
살충,크로마페노자이드,Chromafenozide,143807-66-3,"N′-tert-butyl-5-methyl-N′-(3,5-xyloyl)chromane-6-carbohydrazide",,"In water 0.98 (pH 4), 0.80 (pH 7), 0.89 (pH 9) (all in mg/L, 20℃).  Moderately soluble in polar organic solvents.",C24H30N2O3,205-207℃/66.7 Pa,394.5,205-207℃/66.7 Pa,백색 결정성 분말,,186.4℃,1.173 (20℃),18,디아실하이드라진계,moulting hormone agonists
제초,클레토딤,Clethodim,99129-21-2,(5RS)-2-{(1EZ)-1-[(2E)-3-chloroallyloxyimino]propyl}-5-[(2RS)-2-(ethylthio)propyl]-3-hydroxycyclohex-2-en-1-one,,,C17H26ClNO3S,Decomposes below boiling point,359.9,Decomposes below boiling point,투명한 호박색 액체,,&#38;amplt25℃,1.14 (20℃),H01,아세틸 CoA 카르복실화 효소 저해,cyclohexene oxime
제초,클로디나포프,clodinafop,114420-56-3,(R)-2-[4-(5-chloro-3-fluoro-2-pyridyloxy)phenoxy]propionic acid,,,C14H11ClFNO4,,311.7,,,,,,A,아세틸 CoA 카르복실화 효소 저해,aryloxyphenoxypropionic
제초,클로라지포프,chlorazifop,60074-25-1,"(RS)-2-[4-(3,5-dichloro-2-pyridyloxy)phenoxy]propionic acid",,,C14H11Cl2NO4,,328.1,,,,,,미분류,작용기구 불명,aryloxyphenoxypropionic
제초,클로라지포프프로파길,chlorazifop-propargyl,72880-52-5,"prop-2-ynyl (RS)-2-[4-(3,5-dichloro-2-pyridyloxy)phenoxy]propionate",,,C17H13Cl2NO4,,366.2,,,,,,미분류,작용기구 불명,aryloxyphenoxypropionic
제초,클로란슐람,cloransulam,159518-97-5,"3-chloro-2-(5-ethoxy-7-fluoro[1,2,4]triazolo[1,5-c]pyrimidin-2-ylsulfonamido)benzoic acid or 3-chloro-N-(5-ethoxy-7-fluoro[1,2,4]triazolo[1,5-c]pyrimidin-2-ylsulfonyl)anthranilic acid",,,C14H11ClFN5O5S,,415.8,,,,,,B,분지 아미노산 생합성 저해,"sulfonanilide, triazolopyrimidine"
제초,클로란슐람메틸,cloransulam-methyl,147150-35-4,"methyl 3-chloro-2-(5-ethoxy-7-fluoro[1,2,4]triazolo[1,5-c]pyrimidin-2-ylsulfonamido)benzoate or methyl 3-chloro-N-(5-ethoxy-7-fluoro[1,2,4]triazolo[1,5-c]pyrimidin-2-ylsulfonyl)anthranilate",,"In water 3 ppm (pH 5), 184 ppm (pH 7 (both 25℃). In acetone 4360, acetonitrile 5500, dichloromethane 6980, ethyl acetate 980,    methanol 470, hexane <10, octanol <10, toluene 14 (all in mg/L).",C15H13ClFN5O5S,,429.8,,Off-white 분말,"1.12 (pH 5), -0.365 (pH 7), -1.24 (pH 8.5)",216-218℃,1.538 (20℃),B,분지 아미노산 생합성 저해,"sulfonanilide, triazolopyrimidine"
살충,클로란트라닐리프롤,Chlorantraniliprole,500008-45-7,3-bromo-N-[4-chloro-2-methyl-6-(methylcarbamoyl)phenyl]-1(3-chloropyridin-2-yl)-1H-pyrazole-5-carboxamide  or  3-bromo-4′-chloro-1-(3-chloro-2-pyridyl)-2′-methyl-6′-(methylcarbamoyl)pyrazole-5-carboxanilide,,"In water 0.9-1.0 mg/L (pH 4-9, 20℃). In acetone 3.4, acetonitrile 0.71, dichloromethane 2.48, ethyl acetate 1.14, methanol 1.71 (all in g/L).",C18H14BrCl2N5O2,,483.2,,Off-white 결정성 미세 분말,,208-210℃,"1.5189 (tech., 20℃)",28,디아마이드계,"diamide, pyrazole"
제초,클로람벤,chloramben,133-90-4,"3-amino-2,5-dichlorobenzoic acid",,In water 700 mg/L (25℃).,C7H5Cl2NO2,312℃,206.0,312℃,,1.900,200℃,,O,인돌아세트산 유사작용,benzoic acid
제초,클로람벤디올라마인,chloramben-diolamine,53404-16-3,"3-amino-2,5-dichlorobenzoic acid - 2,2′-iminodiethanol (1:1) or bis(2-hydroxyethyl)ammonium 3-amino-2,5-dichlorobenzoate",,,C11H16Cl2N2O4,,311.2,,,,,,O,인돌아세트산 유사작용,benzoic acid
제초,클로람벤메틸암모늄,chloramben-methylammonium,25182-03-0,"3-amino-2,5-dichlorobenzoic acid - methylamine (1:1) or methylammonium 3-amino-2,5-dichlorobenzoate",,,C8H10Cl2N2O2,,237.1,,,,,,O,인돌아세트산 유사작용,benzoic acid
살충,클로로메부포름,chloromebuform,37407-77-5,(EZ)-N1-butyl-N2-(4-chloro-o-tolyl)-N1-methylformamidine,,,C13H19ClN2,,238.8,,,,,,미분류,작용기구 불명,formamidine acaricides
살충,클로로메티우론,chloromethiuron,28217-97-2,"3-(4-chloro-o-tolyl)-1,1-dimethyl(thiourea)",,In water 50 mg/L (20℃).,C10H13ClN2S,,228.7,,,2.820,175℃,,미분류,작용기구 불명,thiourea acaricides
살충,클로로벤질레이트,chlorobenzilate,510-15-6,"ethyl 4,4′-dichlorobenzilate",,In water 13 mg/L (20℃).,C16H14Cl2O3,,325.2,,,4.74,37℃,,2a,유기염소 시클로알칸계,bridged diphenyl acaricides
살균,클로로탈로닐,Chlorothalonil,1897-45-6,Tetrachloroisophthalonitrile,,,C8Cl4N2,350℃/760 mmHg,265.9,350℃/760 mmHg,무색 무취 결정,2.94,252.1℃,1.732 (20℃),카,"보호살균제 무기유황제, 무기구리제, 유기비소제 등",aromatic
살충,클로로피크린,chloropicrin,76-06-2,trichloronitromethane,,"In water 2.27(0℃), 1.62 (25℃) (both in g/L). Miscible with most organic solvents, e.g. acetone, benzene, ethanol, methanol,     carbon disulfide, diethyl ether, carbon tetrachloride.",CCl3NO2,112.4℃/757 mmHg,164.4,112.4℃/757 mmHg,무색 액체,2.09,-64℃,1.6558 (20℃),8b,클로로피크린,fumigant
제초,클로르니트로펜,Chlornitrofen,1836-77-7,"4-nitrophenyl 2,4,6-trichlorophenyl ether",,,C12H6Cl3NO3,,,,,,,,,,
살충,클로르데인,chlordane,57-74-9,"1,2,4,5,6,7,8,8-octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methanoindene",,"In water 0.1 mg/L (25℃). Miscible with most aliphatic and aromatic organic solvents, including acetone, cyclohexanone, ethanol,     deodorised kerosene, isopropanol, trichloroethylene.",C10H6Cl8,175℃/1 mmHg (pure),409.8,175℃/1 mmHg (pure),호박색 점성 액체 (tech.),6.0,"106-107℃ (cis-), 104-105℃ (trans-isomer)","1.59-1.63 (25℃, tech.)",2a,유기염소 시클로알칸계,cyclodiene
살충,클로르디메폼,chlordimeform,6164-98-3,"(EZ)-N2-(4-chloro-o-tolyl)-N1,N1-dimethylformamidine",,In water 270 mg/L (20℃).,C10H13ClN2,,196.7,,,2.89,35℃,,미분류,작용기구 불명,formamidine
생조,클로르메쾃,Chlormequat,7003-89-6,(2-chloroethyl)trimethylammonium,,,C5H13ClN,,122.6,,,,,,비대상(생장조정제),생장조정제 비저항성 발생 농약,growth retardants
생조,클로르메쾃클로라이드,Chlormequat chloride,999-81-5,(2-chloroethyl)trimethylammonium chloride,,"In water &#38;gt1 kg/kg (20℃). In methanol &#38;gt25, dichloroethane, eyhyl acetate, n-heptane and acetone &#38;lt1, chloroform 0.3 (all in g/kg, 20℃).",C5H13Cl2N,,158.1,,무색 고흡습성 결정,-1.59 (pH 7),c. 235℃,1.141 (20℃),비대상(생장조정제),생장조정제 비저항성 발생 농약,growth retardants
제초,클로르설퓨론,Chlorsulfuron,64902-72-3,"1-(2-chlorophenylsulfonyl)-3-(4-methoxy-6-methyl-1,3,5-triazin-2-yl)urea",,"In water 0.876 (pH 5), 12.5 (pH 7), 134 (pH 9) (all in g/L, 20℃), 0.59 (pH 5), 31.8 (pH 7) (both in g/L, 25℃). In dichloromethane 1.4, acetone 4, methanol 15, toluene 3, hexane <0.01 (all in g/L, 25℃).",C12H12ClN5O4S,,357.8,,백색 결정성 고체,-0.99 (pH 7),170-173℃ (purity 98%),1.48,B,분지 아미노산 생합성 저해,triazinylsulfonylurea
살충,클로르에톡시포스,chlorethoxyfos,54593-83-8,"O,O-diethyl (RS)-O-(1,2,2,2-tetrachloroethyl) phosphorothioate",,"In water <1 mg/L (20℃).  Soluble in acetonitrile, chloroform, ethanol, hexane, xylene.",C6H11Cl4O3PS,110-115℃/0.8 mmHg,336.0,110-115℃/0.8 mmHg,,4.59 (25℃),,1.41 (20℃),1b,유기인계,aliphatic organothiophosphate
살충,클로르티오포스,chlorthiophos,60238-56-4,"reaction mixture of the three isomers: (i) O-2,4-dichloro-5-methylthiophenyl O,O-diethyl phosphorothioate (ii) O-2,5-dichloro-4-methylthiophenyl O,O-diethyl phosphorothioate (major component) and (iii) O-4,5-dichloro-2-methylthiophenyl O,O-diethyl phosphorothioate",,,C11H15Cl2O3PS2,,365.3,,,,,,1b,유기인계,phenyl organothiophosphate
살충,클로르페나피르,Chlorfenapyr,122453-73-0,4-bromo-2-(4-chlorophenyl)-1-(ethoxymethyl)-5-(trifluoromethyl)-1H-pyrrole-3-carbonitrile,,,C15H11BrClF3N2O,,407.6,,백색 고체,4.83,101-102℃,0.355 (24℃),13,"피롤계, 디니트로페놀계, 설플루라미드",pyrrole
살충,클로르펜빈포스,Chlorfenvinphos,470-90-6,"(EZ)-2-chloro-1-(2,4-dichlorophenyl)vinyl diethyl phosphate",,"In water 121 mg/L ((Z)-isomer), 7.3 mg/L ((E)-isomer) (23℃).  Miscible with most common organic solvents, e.g. ethanol, acetone, dichloromethane, hexane,    xylene, polyethylene glycol, kerosene.",C12H14Cl3O4P,167-170℃/0.5 mmHg,359.6,167-170℃/0.5 mmHg,무색 액체,"3.85 ((Z)-isomer), 4.22 ((E)-isomer)",-23 ~ -19℃,1.36 (20℃),1b,유기인계,organophosphate
살충,클로르펜손,Chlorfenson,80-33-1,4-chlorophenyl 4-chlorobenzenesulfonate,,In water 2.960 mg/L (25℃).,C12H8Cl2O3S,,303.2,,,4.210,86.5℃,,미분류,작용기구 불명,bridged diphenyl acaricides
제초,클로르펜프로프,chlorfenprop,59604-11-4,(RS)-2-chloro-3-(4-chlorophenyl)propionic acid,,,C9H8Cl2O2,,219.1,,,,,,미분류,작용기구 불명,unclassified
살충,클로르프라조포스,chlorprazophos,36145-08-1,"O-(3-chloro-7-methylpyrazolo[1,5-a]pyrimidin-2-yl) O,O-diethyl phosphorothioate",,,C11H15ClN3O3PS,,335.8,,,,,,1b,유기인계,pyrazolopyrimidine organothiophosphate
제초,클로르프로카브,chlorprocarb,23121-99-5,methyl (RS)-3-[1-(chloromethyl)propylcarbamoyloxy]carbanilate,,,C13H17ClN2O4,,300.7,,,,,,미분류,작용기구 불명,carbamate
생조,클로르프로팜,Chlorpropham,101-21-3,isopropyl 3-chlorocarbanilate,,"In water 89 mg/L (25℃). Readily soluble in most organic solvents, e.g. alcohols, ketones, esters, chlorinated hydrocarbons, aromatic hydrocarbons, etc. Moderately soluble in mineral oils (e.g. 100 g/kg in kerosene).",C10H12ClNO2,256-258℃ (>98% pure),213.7,256-258℃ (>98% pure),미색  결정,3.76,41.4℃,1.180 (30℃),비대상(생장조정제),생장조정제 비저항성 발생 농약,growth inhibitors
생조,클로르플루렌,Chlorfluren,24539-66-0,(RS)-2-chlorofluorene-9-carboxylic acid,,,C14H9ClO2,,244.7,,,,,,비대상(생장조정제),생장조정제 비저항성 발생 농약,morphactins
살충,클로르플루아주론,Chlorfluazuron,71422-67-8,"1-[3,5-dichloro-4-(3-chloro-5-trifluoromethyl-2-pyridyloxy)phenyl]-3-(2,6-difluorobenzoyl)urea",,"In water 0.012 mg/L (20℃).  In hexane 0.00639, n-octanol 1, xylene 4.67, methanol 2.68, toluene 6.6, isopropanol 7,    dichloromethane 20, acetone 55.9, cyclohexanone 110 (all in g/L, 20℃).",C20H9Cl3F5N3O3,238.0℃ (2.5 kPa),540.7,238.0℃ (2.5 kPa),백색 결정,,221.2-223.9℃,1.542 (20℃),15,벤조일요소계,benzoylphenylurea chitin synthesis inhibitors
살충,클로르피리포스,Chlorpyrifos,2921-88-2,"O,O-diethyl O-3,5,6-trichloro-2-pyridyl phosphorothioate",,,C9H11Cl3NO3PS,>400℃,350.6,>400℃,무색 결정,4.7,42-43.5℃,1.44 (20℃),1b,유기인계,pyridine organothiophosphate
살충,클로르피리포스메틸,Chlorpyrifos-methyl,5598-13-0,"O,O-dimethyl O-3,5,6-trichloro-2-pyridyl phosphorothioate",,"In water 2.6 mg/L (20℃). In acetone &#38;gt400, methanol 190, hexane 120 (all in g/kg, 20℃).",C7H7Cl3NO3PS,,322.5,,백색 결정,,45.5-46.5℃,1.64 (23℃),1b,유기인계,pyridine organothiophosphate
제초,클로리뮤론,chlorimuron,99283-00-8,2-(4-chloro-6-methoxypyrimidin-2-ylcarbamoylsulfamoyl)benzoic acid,,,C13H11ClN4O6S,,386.8,,,,,,B,분지 아미노산 생합성 저해,pyrimidinylsulfonylurea
제초,클로리뮤론에틸,chlorimuron-ethyl,90982-32-4,ethyl 2-(4-chloro-6-methoxypyrimidin-2-ylcarbamoylsulfamoyl)benzoate,,"In water 9 (pH 5), 1200 (pH 7) (both in mg/L, 25℃).   Low solubility in organic solvents.",C15H15ClN4O6S,,414.8,,무색 결정,0.11 (pH 7),181℃,1.51 (25℃),B,분지 아미노산 생합성 저해,pyrimidinylsulfonylurea
제초,클로마존,Clomazone,81777-89-1,"2-(2-chlorobenzyl)-4,4-dimethyl-1,2-oxazolidin-3-one  or  2-(2-chlorobenzyl)-4,4-dimethylisoxazolidin-3-one",,,C12H14ClNO2,275.4-281.7℃,239.7,275.4-281.7℃,무색~담갈색 투명 점성 액체,,25.0-34.7℃,1.192 (20℃),H13,DXP(Deoxy-D-Xylulose Phosphate Synthase) 저해,unclassified
제초,클로메톡시펜,Chlomethoxyfen,32861-85-1,"5-(2,4-dichlorophenoxy)-2-nitroanisole or 2,4-dichloro-1-(3-methoxy-4-nitrophenoxy)benzene",,In water 0.3 mg/L (15℃).,C13H9Cl2NO4,,314.1,,노란색 결정,,113.5℃,,H14,엽록소 생합성 저해,nitrophenyl ether
살충,클로메포스,chlormephos,24934-91-6,"S-chloromethyl O,O-diethyl phosphorodithioate",,In water 60 mg/L (20℃). Miscible with most organic solvents.,C5H12ClO2PS2,81-85℃/0.1 mmHg,234.7,81-85℃/0.1 mmHg,무색 액체,3.040,<25℃,1.260 (20℃),1b,유기인계,aliphatic organothiophosphate
제초,클로메프로프,clomeprop,84496-56-0,"(RS)-2-(2,4-dichloro-m-tolyloxy)propionanilide",,"In water 0.032 mg/L (25℃).  In xylene 17, acetone 33, cyclohexane 9, DMF 20 (all in g/L, 20℃).",C16H15Cl2NO2,,324.2,,무색 결정,4.8,146-147℃,,O,인돌아세트산 유사작용,"anilide, phenoxy"
살균,클로벤티아존,chlobenthiazone,63755-05-5,"4-chloro-3-methyl-1,3-benzothiazol-2(3H)-one",,,C8H6ClNOS,,199.7,,,,,,미분류,작용기구 불명,benzothiazole
살충,클로산텔,closantel,57808-65-8,"(RS)-5′-chloro-4′-(4-chloro-α-cyanobenzyl)-3,5-diiodosalicyl-o-toluidide",,,C22H14Cl2I2N2O2,,663.1,,,8.110,217.8℃,,미분류,작용기구 불명,unclassified
살충,클로에토카브,cloethocarb,51487-69-5,2-[(RS)-2-chloro-1-methoxyethoxy]phenyl methylcarbamate,,In water 1300 mg/L (20℃).,C11H14ClNO4,,259.7,,,1.400,80℃,,1a,카바메이트계,phenyl methylcarbamate
살균,클로졸리네이트,chlozolinate,84332-86-5,"ethyl (RS)-3-(3,5-dichlorophenyl)-5-methyl-2,4-dioxo-1,3-oxazolidine-5-carboxylate",,In water 2 mg/L (25℃).,C13H11Cl2NO5,,332.1,,,3.15,112.6℃,,마3,"삼투압 신호전달 효소 MAP 저해(이프로디온, 프로사이미돈)","dichlorophenyl dicarboximide, oxazole"
제초,클로퀸토세트,cloquintocet,88349-88-6,(5-chloroquinolin-8-yloxy)acetic acid,,,C11H8ClNO3,,237.6,,,"-0.7 (25℃, unstated pH)",,,미분류,작용기구 불명,herbicide safeners
제초,클로킨토세트멕실,cloquintocet-mexyl,99607-70-2,(RS)-1-methylhexyl (5-chloroquinolin-8-yloxy)acetate,,"In water 0.54 (pH 5.0), 0.60 (pH 7.0), 0.47 (pH 9.0) (all in mg/L, 25℃).  In ethanol 190, acetone 340, toluene 360, n-hexane 11, n-octanol 140 (all in g/L, 25℃).",C18H22ClNO3,100.6℃,335.8,100.6℃,무색 결정,5.20 (25℃),69.4℃,1.05 g/cm^3,미분류,작용기구 불명,herbicide safeners
살균,클로트리마졸,clotrimazole,23593-75-1,1-(2-chlorotrityl)imidazole,,,C22H17ClN2,,344.8,,,6.260,148℃,,미분류,작용기구 불명,conazole
살충,클로티아니딘,Clothianidin,210880-92-5,"(E)-1-(2-chloro-1,3-thiazol-5-ylmethyl)-3-methyl-2-nitroguanidine",,,C6H8ClN5O2S,,249.7,,무색 무취 분말,,176.8℃,1.61 (20℃),4a,네오니코티노이드계,"nitroguanidine neonicotinoid, thiazole"
생조,클로펜세트,clofencet,129025-54-3,"2-(4-chlorophenyl)-3-ethyl-2,5-dihydro-5-oxopyridazine-4-carboxylic acid",,In water 7.00 × 10^5 mg/L.,C13H11ClN2O3,,278.7,,,-2.20,269℃,,비대상(생장조정제),생장조정제 비저항성 발생 농약,unclassified
생조,클로펜세트포타슘,clofencet-potassium,82697-71-0,"potassium 2-(4-chlorophenyl)-3-ethyl-2,5-dihydro-5-oxopyridazine-4-carboxylate",,,C13H10ClKN2O3,,316.8,,,,,,비대상(생장조정제),생장조정제 비저항성 발생 농약,unclassified
살충,클로펜테진,Clofentezine,74115-24-5,"3,6-bis(2-chlorophenyl)-1,2,4,5-tetrazine",,"In water 2.5 ㎍/L (pH 5, 22℃).  In dichloromethane 37, acetone 9.3, xylene 5, ethanol 0.5, ethyl acetate 5.7 (all in g/L, 25℃).",C14H8Cl2N4,,303.1,,암적색 결정,4.1 (25℃),183.0℃,1.52 (20℃),10a,"클로펜테진, 헥시티아족스","mite growth regulators, tetrazine acaricides"
제초,클로포프,clofop,26129-32-8,(RS)-2-[4-(4-chlorophenoxy)phenoxy]propionic acid,,,C15H13ClO4,,292.7,,,,,,미분류,작용기구 불명,aryloxyphenoxypropionic
제초,클로포프아이소뷰틸,clofop-isobutyl,51337-71-4,isobutyl (RS)-2-[4-(4-chlorophenoxy)phenoxy]propionate,,In water 180 mg/L (22℃).,C19H21ClO4,,348.8,,,6.130,39.5℃,,미분류,작용기구 불명,aryloxyphenoxypropionic
제초,클로프록시딤,cloproxydim,95480-33-4,(5RS)-2-{(EZ)-1-[(2EZ)-3-chloroallyloxyimino]butyl}-5-[(2RS)-2-(ethylthio)propyl]-3-hydroxycyclohex-2-en-1-one,,,C18H28ClNO3S,,373.9,,,,,,미분류,작용기구 불명,cyclohexene oxime
제초,클로피랄리드올라마인,clopyralid-olamine,57754-85-5,"3,6-dichloropyridine-2-carboxylic acid - 2-aminoethanol (1:1) or (2-hydroxyethyl)ammonium 3,6-dichloropyridine-2-carboxylate or 3,6-dichloropicolinic acid - 2-aminoethanol (1:1) or (2-hydroxyethyl)ammonium 3,6-dichloropicolinate",,In water 560 g/L (25℃).,C8H10Cl2N2O3,,253.1,,,,,,O,인돌아세트산 유사작용,"picolinic acid, pyridine"
제초,클로피랄리드포타슘,clopyralid-potassium,58509-83-4,"potassium 3,6-dichloropyridine-2-carboxylate or potassium 3,6-dichloropicolinate",,In water >30 g/L (25℃).,C6H2Cl2KNO2,,230.1,,,,,,O,인돌아세트산 유사작용,"picolinic acid, pyridine"
생조,클록시포낙,Cloxyfonac,6386-63-6,4-chloro-a-hydroxy-o-tolyloxyacetic acid,,"In water 2 g/L. In acetone 100, dioxane 125, ethanol 91, methanol 125 (all in g/L). Insoluble in benzene and chloroform.",C9H9ClO4,,216.6,,무색 결정,1.060,140.5-142.7℃,,비대상(생장조정제),생장조정제 비저항성 발생 농약,unclassified
생조,클록시포낙소듐,cloxyfonac-sodium,32791-87-0,sodium 4-chloro-α-hydroxy-o-tolyloxyacetate,,"in Water 2g/ℓ,  Acetone 100, Methanol 125, Ethanol 91, Dioxane 125 (all g/ℓ) Benzene, Chloroform에는 녹지 않는다.",C9H8ClNaO4,,238.6,,무색 결정,,140.5-142.7℃,,비대상(생장조정제),생장조정제 비저항성 발생 농약,unclassified
제초,클리오디네이트,cliodinate,69148-12-5,"2-chloro-3,5-diiodo-4-pyridyl acetate",,,C7H4ClI2NO2,,423.4,,,,,,O,인돌아세트산 유사작용,pyridine
살균,클림바졸,climbazole,38083-17-9,"(RS)-1-(4-chlorophenoxy)-1-imidazol-1-yl-3,3-dimethylbutan-2-one",,,C15H17ClN2O2,,292.8,,,,,,미분류,작용기구 불명,conazole
살충,키노프렌,kinoprene,42588-37-4,"prop-2-ynyl (E,E)-(RS)-3,7,11-trimethyldodeca-2,4-dienoate",,In water 0.211 ppm (25℃). Soluble in most organic solvents.,C18H28O2,134℃/0.1 mmHg,276.4,134℃/0.1 mmHg,호박색 투명 유성 액체,5.38,<25℃,0.918 (25℃),7a,유약호르몬 유사체,juvenile hormone mimics
살충,타우플루발리네이트,tau-fluvalinate,102851-06-9,"(RS)-α-cyano-3-phenoxybenzyl N-(2-chloro-α,α,α-trifluoro-p-tolyl)-D-valinate",,"in Water 1.03ppb(pH 7, 20℃), iso-Octane 108g/ℓ Toluene, Acetonitrile, Isopropanol, Dimethylformamide에 용해",C26H22ClF3N2O3,164℃/0.07 mmHg (Tech),502.9,164℃/0.07 mmHg (Tech),호박색 점성 유상,,,,3a,합성피레스로이드계,pyrethroid ester
살충,타짐카브,tazimcarb,40085-57-2,"(EZ)-N-methyl-1-(3,5,5-trimethyl-4-oxo-1,3-thiazolidin-2-ylideneaminooxy)formamide or (EZ)-3,5,5-trimethyl-2-methylcarbamoyloxyimino-1,3-thiazolidin-4-one",,,C8H13N3O3S,,231.3,,,,,,미분류,작용기구 불명,"oxime carbamate, thiazolidine"
살균,탄산수소나트륨,Sodium hydrogen carbonate,Temp-C-00-7,Sodium hydrogen carbonate or Sodium bicarbonate,,In water 1.00 × 10^5  mg/L (25℃).,NaHCO3,,84.0,,,-4.010,,,미분류,작용기구 불명,
살균,탈라로마이세스플라버스,talaromyces flavus,,talaromyces flavus,,,미생물,,,,,,,,미분류,작용기구 불명,미생물농약
제초,터부메톤,terbumeton,33693-04-8,"N2-tert-butyl-N4-ethyl-6-methoxy-1,3,5-triazine-2,4-diamine",,"In water 130 mg/L (20℃). In acetone 130, toluene 110, methanol 220, dichloromethane 360, n-octanol 90 (all in g/L, 20℃).",C10H19N5O,,225.3,,무색 결정,3.04,123-124℃,1.08 (20℃),C1,"광화학계 Ⅱ 저해(트리아진, 트리아지논, 트리아졸리논, 우라실, 피리다지논, 페닐-카바메이트 계)",methoxytriazine
제초,터부트린,Terbutryn,886-50-0,"N2-tert-butyl-N4-ethyl-6-methylthio-1,3,5-triazine-2,4-diamine",,"In water 22 mg/L (pH 6.8, 22℃).  In acetone 220, hexane 9, n-octanol 130, methanol 220, toluene 45 (all in g/L, 20℃). Slightly soluble in petroleum ether. Readily soluble in dioxane, diethyl ether, xylene, chloroform, carbon tetrachloride and DMF.",C10H19N5S,274℃/101 kPa,241.4,274℃/101 kPa,백색 분말,"3.65 (25℃, unionised)",104-105℃,1.12 (20℃),C1,"광화학계 Ⅱ 저해(트리아진, 트리아지논, 트리아졸리논, 우라실, 피리다지논, 페닐-카바메이트 계)",methylthiotriazine
제초,터부틸라진,Terbuthylazine,5915-41-3,"N2-tert-butyl-6-chloro-N4-ethyl-1,3,5-triazine-2,4-diamine",,"In water 9 mg/L (pH 7.4, 25℃). In acetone 41, ethanol 14, n-octanol 12, n-hexane 0.36 (all in g/L, 25℃).",C9H16ClN5,,229.7,,무색 분말,3.4 (25℃),175.5℃,1.22 (22℃),H05,광화학계 Ⅱ 저해 (D1 Serine 264 binders),chlorotriazine
살충,터부포스,Terbufos,13071-79-9,"S-tert-butylthiomethyl O,O-diethyl phosphorodithioate",,"In water 4.5 mg/L (27℃). Readily soluble in most organic solvents, e.g. aromatic hydrocarbons, chlorinated hydrocarbons, alcohols, acetone c. 300 g/L.",C9H21O2PS3,69℃/0.01 mmHg,288.4,69℃/0.01 mmHg,담황색 액체,,-29.2℃,1.11 (20℃),1b,유기인계,aliphatic organothiophosphate
제초,테닐클로르,Thenylchlor,96491-05-3,"2-chloro-N-(3-methoxy-2-thenyl)-2′,6′-dimethylacetanilide",,In water 11 ppm (20℃),C16H18ClNO2S,173-175℃/0.5 mmHg,323.8,173-175℃/0.5 mmHg,백색 고체,3.53 (25℃),72-74℃,1.19 (25℃),H15,장쇄 지방산 합성저해,chloroacetanilide
살균,테부코나졸,Tebuconazole,107534-96-3,"(RS)-1-p-chlorophenyl-4,4-dimethyl-3-(1H-1,2,4-triazol-1-ylmethyl)pentan-3-ol",,,C16H22ClN3O,,307.8,,무색 결정,3.7,105℃,1.25 (26℃),사1,"탈메틸 효소 기능 저해 (피리미딘계, 이미다졸계 등)",conazole
제초,테부탐,tebutam,35256-85-0,"N-benzyl-N-isopropylpivalamide or N-benzyl-N-isopropyl-2,2-dimethylpropionamide",,In water 790 mg/L (20℃).,C15H23NO,,233.4,,,3,<25℃,,K1,미소관 조합 저해,amide
